id,Age,Gender,Education,SES,FO,MO,FI,FS,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Smokernonsmoker,PARQF01_R,PARQF02,PARQF03_R,PARQF04,PARQF05,PARQF06,PARQF07,PARQF08,PARQF09_R,PARQF10,PARQF11,PARQF12_R,PARQF13_R,PARQF14,PARQF15,PARQF16,PARQF017_R,PARQF18,PARQF19_R,PARQF20,PARQF21,PARQF22_R,PARQF23,PARQF24_R,PARQM01_R,PARQM02,PARQM03_R,PARQM04,PARQM05,PARQM06,PARQM07,PARQM08,PARQM09_R,PARQM10,PARQM11,PARQM12_R,PARQM13_R,PARQM14,PARQM15,PARQM16,PARQM17_R,PARQM18,PARQM19_R,PARQM20,PARQM21,PARQM22_R,PARQM23,PARQM24_R,PAQ1,PAQ2,PAQ3,PAQ4,PAQ5,PAQ6,PAQ7,PAQ8,PAQ9,PAQ10_R,PAQ11_R,PAQ12,PAQ13,PAQ14_R,PAQ15,PAQ16_R,PAQ17,PAQ18,PAQ19_R,PAQ20_R,PAQ21,PAQ22,PAQ23,PAQ24_R,PAQ25_R,PAQ26,PAQ27,PAQ28_R,PAQ29,PAQ30,PAQ31,PAQ32,PAQ33_R,PAQ34,PAQ35,PAQ36,PAQ37,PAQ38_R,PAQ39_R,PAQ40,PAQ41_R,PAQ42_R,PPQ1,PPQ2,PPQ3,PPQ4,PPQ5,PPQ6,PPQ7,PPQ8,PPQ9,PPQ10,PPQ11,PPQ12,PPQ13,PPQ14,PPQ15,PPQ16,PPQ17,PPQ18,PPQ19,PPQ20,PPQ21,PPQ22,PPQ23,PPQ24,PPQ25,PARQFatherTotal,PARQMotherTotal,PeerPressureTotal,PersonalityTotal,PRE_1,PGR_1
266,1,0,2,1,0,0,1,0,1,1,0,1,1,1,7,8,0,1,1,2,1,3,1,1,1,3,1,1,3,3,2,3,1,4,2,3,3,1,3,1,2,3,1,3,1,1,1,1,1,2,3,1,3,3,3,3,1,4,2,3,3,1,3,1,2,2,1,2,2,3,2,2,1,2,2,2,3,3,4,1,3,2,2,3,4,2,1,3,2,2,3,3,3,1,3,2,3,2,3,2,3,3,4,2,3,2,2,3,3,5,5,3,3,3,3,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,2,43,49,67,100,.0226028682092702,0
267,1,0,1,1,0,0,2,0,1,1,1,1,1,1,7,8,0,4,2,2,2,3,4,3,3,4,2,3,2,4,3,3,2,3,4,3,4,2,3,3,3,1,1,1,1,3,1,1,1,2,1,1,3,2,1,2,1,2,1,1,2,1,2,2,1,3,2,4,1,4,3,3,3,2,4,3,3,3,2,2,1,1,2,3,1,3,1,3,4,4,3,3,3,3,3,4,4,2,3,2,3,1,4,1,3,2,1,4,3,2,3,1,2,1,3,1,3,4,4,3,2,4,2,1,4,3,5,4,5,1,3,2,64,34,70,110,.953349754130692,1
268,1,0,1,1,2,0,2,0,1,1,0,1,1,1,7,8,0,1,3,1,3,3,4,3,1,2,3,1,1,2,3,3,3,1,1,1,1,1,1,2,1,1,1,1,3,3,4,3,4,2,1,3,1,1,2,3,3,1,4,2,3,4,1,3,1,3,4,4,3,4,4,4,4,3,2,2,3,2,2,4,1,3,3,1,1,3,3,4,1,3,3,3,2,3,3,4,4,1,4,3,3,2,2,1,4,2,1,4,2,2,5,4,2,4,4,2,4,4,4,4,4,2,2,3,4,4,4,4,4,2,2,2,41,52,82,116,.221711209583294,0
269,2,0,1,1,2,0,1,0,1,1,1,1,1,1,7,8,0,1,1,1,1,1,1,1,1,4,4,1,4,4,2,1,1,4,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,4,2,1,1,1,4,1,1,2,1,4,3,2,3,4,2,1,4,4,3,3,3,2,2,2,3,1,1,4,3,3,2,4,3,2,4,2,1,4,3,3,3,2,3,2,4,1,4,3,1,2,2,1,4,3,2,3,1,1,2,2,4,2,4,4,4,2,4,4,4,4,2,4,4,2,39,36,71,111,.168147911656963,0
270,1,0,1,1,1,2,1,0,1,1,0,1,1,1,7,8,0,1,3,1,1,1,1,3,2,1,3,3,2,2,3,4,3,1,1,2,4,4,2,3,2,1,2,1,1,1,2,4,2,1,2,2,2,2,3,2,3,3,2,2,2,3,2,2,1,3,4,4,3,4,3,4,4,4,2,2,3,3,2,3,2,4,3,2,2,4,4,4,2,4,3,3,2,2,3,3,4,1,3,2,3,2,2,2,3,2,1,3,4,4,3,5,4,1,1,3,3,4,2,4,3,4,3,2,4,3,2,3,4,3,4,4,48,44,80,120,.755594756902002,1
271,1,0,1,0,1,0,0,0,1,1,0,1,1,1,7,8,0,1,4,2,2,1,2,3,1,4,1,1,1,3,4,4,3,1,3,1,4,4,3,3,1,3,1,1,3,3,3,2,1,1,1,2,1,1,1,4,1,1,1,1,4,2,1,4,2,1,3,4,3,4,3,4,4,4,4,4,4,4,4,3,4,2,3,1,4,4,4,4,2,4,1,1,4,1,4,3,2,2,1,1,3,2,4,2,3,4,2,1,3,3,1,3,2,1,1,1,2,3,4,4,1,1,1,1,4,1,1,3,3,4,2,3,51,43,54,125,.56440454686607,1
272,1,0,1,1,0,0,1,0,1,1,1,1,1,1,7,8,0,2,1,1,1,1,1,2,1,4,1,1,1,1,2,3,3,2,4,1,3,4,1,2,1,2,1,1,3,3,3,2,1,2,2,1,4,1,2,3,3,1,1,2,4,4,1,3,1,1,3,4,3,2,3,4,2,1,2,2,2,1,4,1,4,3,3,1,2,3,4,4,2,4,1,1,4,1,4,3,2,2,1,1,3,2,4,2,3,4,1,1,1,1,4,1,1,1,2,1,2,3,5,4,2,1,3,1,2,4,4,1,2,5,1,1,41,49,54,104,.00887675847227684,0
273,1,0,1,0,4,0,1,0,1,1,1,1,1,1,7,8,0,2,1,3,3,3,3,3,1,2,1,1,2,3,1,3,3,3,2,3,3,1,3,1,3,3,1,3,3,1,3,3,1,2,1,1,3,3,1,2,1,3,2,3,3,1,3,1,3,1,1,3,3,3,3,2,1,1,2,1,2,3,2,1,2,1,3,4,2,2,3,1,4,2,1,3,4,1,1,3,3,3,3,1,3,1,2,2,2,3,3,1,2,1,2,2,3,2,2,2,2,3,5,5,3,2,4,2,1,4,2,1,2,4,3,1,48,48,61,92,.0146703085810825,0
274,1,0,1,1,2,0,3,0,1,1,0,1,1,1,7,8,0,2,1,2,1,1,2,1,1,1,1,1,4,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,4,1,4,4,1,1,4,2,4,1,4,1,1,1,4,1,3,3,4,1,2,3,4,1,4,2,4,4,3,1,4,1,2,1,4,2,4,2,1,5,5,5,5,5,3,1,5,1,1,3,5,2,4,1,1,1,5,3,1,1,1,5,5,1,30,28,75,104,.0465369445966872,0
275,1,0,1,1,0,0,3,0,1,1,1,1,1,1,7,8,0,1,3,3,1,1,1,1,1,4,1,1,4,4,4,3,1,4,4,4,4,2,3,3,2,1,4,1,1,4,1,1,1,2,2,4,4,2,4,2,3,3,3,3,2,4,4,4,1,1,1,4,4,4,1,1,1,4,3,4,2,3,1,3,3,2,4,2,2,2,4,3,2,3,1,3,3,2,4,4,3,1,3,4,1,3,4,2,4,3,2,5,1,1,2,3,4,4,1,1,2,5,2,1,3,1,1,4,1,2,3,1,1,1,3,1,55,60,54,111,.0887371189399995,0
276,1,0,2,1,2,0,1,0,1,1,0,1,1,1,7,8,0,1,4,2,2,1,1,4,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,3,1,1,2,2,2,1,1,4,1,1,2,2,1,1,1,2,1,1,2,1,2,4,1,3,1,1,3,4,4,3,4,4,4,4,4,4,4,1,4,1,1,4,4,4,1,4,1,4,1,4,4,2,2,2,4,4,1,4,1,1,2,4,1,4,1,1,1,1,2,2,2,2,1,1,3,3,3,4,3,1,5,3,3,1,3,3,3,1,3,4,4,3,34,36,64,116,.0765343826443278,0
277,1,0,1,1,0,0,1,0,1,1,1,1,1,1,7,8,0,1,4,2,3,1,1,4,1,1,4,2,1,1,3,4,1,1,4,1,3,4,1,3,1,1,4,2,3,1,1,4,1,1,4,2,1,1,3,4,1,1,4,1,3,4,1,3,1,1,3,4,4,3,4,4,4,4,2,2,4,2,4,1,1,4,4,3,1,4,1,4,1,4,1,4,2,3,2,4,4,4,1,1,1,4,1,4,1,1,1,1,2,2,2,2,1,1,3,3,3,4,4,4,2,2,1,4,4,2,1,3,2,2,5,2,47,48,62,112,.131981418373332,0
278,1,0,1,0,1,2,1,1,1,1,1,1,1,1,7,8,0,1,3,1,1,1,2,3,1,2,1,1,4,3,1,1,3,2,1,1,1,4,1,3,2,1,4,2,1,1,2,3,1,1,1,1,4,2,1,1,3,4,3,1,1,4,1,1,1,3,3,4,4,1,4,3,1,3,4,3,3,1,4,1,2,3,3,4,1,4,1,3,1,4,3,2,4,1,4,3,3,1,1,1,4,4,4,1,4,4,1,2,2,4,4,5,2,2,1,1,1,1,5,1,1,4,2,2,1,1,3,3,1,1,1,3,38,42,54,113,.029099073645513,0
279,1,0,1,1,0,0,2,1,1,1,0,1,1,1,7,8,0,2,3,1,4,3,3,3,2,1,3,3,3,2,3,2,3,2,2,2,3,3,1,3,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,4,1,1,2,4,3,1,4,1,4,4,3,4,3,3,2,4,3,2,2,3,2,2,3,1,3,3,1,2,3,4,4,1,4,3,4,2,4,2,3,3,1,3,3,3,3,3,2,3,2,1,1,4,3,4,4,4,3,3,1,2,4,4,4,4,2,3,4,4,3,4,2,3,4,4,4,53,41,82,115,.869748379893063,1
280,1,0,1,1,0,1,3,1,1,1,0,1,1,1,7,8,0,1,4,3,4,3,3,4,3,1,3,3,2,1,3,3,3,1,4,2,3,4,2,4,1,1,3,2,3,3,4,4,3,2,4,4,2,1,3,4,4,2,4,1,4,3,1,4,1,1,4,4,4,1,1,4,1,4,4,4,4,1,3,1,1,2,4,1,4,4,2,4,2,4,4,1,4,2,4,3,4,1,4,2,4,1,1,1,4,3,1,1,4,2,2,2,1,1,2,1,2,3,5,3,1,2,3,1,2,1,1,2,4,3,2,1,60,63,52,113,.166279929856351,0
281,1,0,1,1,0,0,2,0,1,1,0,1,1,1,7,8,0,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,4,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,4,4,1,1,2,1,1,4,4,4,1,4,1,2,3,4,4,2,2,2,1,4,4,4,1,3,2,3,1,1,4,1,1,2,1,4,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,32,27,28,101,.00115361274065766,0
282,1,0,1,1,0,0,2,0,1,1,1,1,1,1,7,8,0,1,1,1,1,1,1,1,1,2,4,4,3,1,2,2,1,2,1,3,1,2,2,2,1,3,1,2,2,2,2,2,1,2,2,3,2,2,1,3,1,2,3,3,4,3,2,3,3,2,4,4,4,4,4,2,1,4,1,3,2,4,1,1,2,3,2,4,1,3,1,4,3,3,3,4,1,3,3,3,3,2,4,4,3,2,2,3,4,3,2,5,2,4,4,2,4,4,2,2,2,4,1,2,2,5,2,4,2,3,4,2,4,1,5,4,39,52,76,116,.107465973883662,0
283,1,1,2,0,4,0,0,1,1,1,0,1,1,1,7,8,0,2,1,1,1,1,1,4,1,2,1,1,2,2,1,1,1,2,4,4,1,4,4,4,2,4,4,4,1,1,4,1,3,4,1,3,2,4,1,1,1,4,3,1,1,1,1,1,1,1,3,4,4,1,2,4,1,3,4,2,4,1,4,1,2,3,4,4,2,4,1,4,4,4,4,4,4,1,3,4,3,4,3,1,3,3,4,1,4,4,1,2,2,2,2,4,2,2,2,2,2,4,4,2,2,2,4,4,2,2,2,3,2,3,2,2,42,51,62,122,.132017497158137,0
284,1,1,2,1,4,0,2,0,1,1,1,1,1,1,7,8,0,2,3,2,1,3,1,3,1,1,2,1,2,2,3,3,1,1,3,2,1,4,1,3,1,1,3,1,1,1,3,3,1,2,3,1,2,4,4,4,1,1,3,1,2,4,1,4,1,1,4,4,4,1,2,3,1,3,4,2,3,2,4,3,2,4,3,4,2,4,1,4,4,4,3,4,4,1,3,4,3,4,3,1,3,3,4,1,4,4,1,3,3,2,2,4,2,2,2,2,2,4,4,4,2,2,3,3,3,4,4,4,4,4,4,3,42,49,76,123,.395424490528342,0
